Metric,Value,case
loss,0.3954167068004608,0
tp,27.0,False
bin_accuracy,0.8115338683128357,MP.csv
precision,0.07941176742315292,0
recall,0.8709677457809448,0
auc,0.906557023525238,0
loss,0.4397381842136383,1
tp,25.0,False
bin_accuracy,0.7917646765708923,MP.csv
precision,0.0670241266489029,0
recall,0.8064516186714172,0
auc,0.90227872133255,0
loss,0.5480839610099792,2
tp,31.0,False
bin_accuracy,0.7376058101654053,MP.csv
precision,0.06666667014360428,0
recall,1.0,0
auc,0.9209052324295044,0
loss,0.21011865139007568,0
tp,27.0,True
bin_accuracy,0.922347366809845,MP.csv
precision,0.1753246784210205,0
recall,0.8709677457809448,0
auc,0.9675276875495911,0
loss,0.19018736481666565,1
tp,27.0,True
bin_accuracy,0.9356172680854797,MP.csv
precision,0.20454545319080353,0
recall,0.8709677457809448,0
auc,0.9694207906723022,0
loss,0.22598737478256226,2
tp,27.0,True
bin_accuracy,0.9272943735122681,MP.csv
precision,0.1862068921327591,0
recall,0.8709677457809448,0
auc,0.9679964780807495,0
loss,0.5864889621734619,0
tp,24.0,False
bin_accuracy,0.6821120977401733,WMP_merged.csv
precision,0.03921568766236305,0
recall,0.9230769276618958,0
auc,0.8659205436706543,0
loss,0.5710442662239075,1
tp,24.0,False
bin_accuracy,0.6841822862625122,WMP_merged.csv
precision,0.03927987068891525,0
recall,0.9230769276618958,0
auc,0.8699753284454346,0
loss,0.5445329546928406,2
tp,23.0,False
bin_accuracy,0.728516697883606,WMP_merged.csv
precision,0.04457364231348038,0
recall,0.8846153616905212,0
auc,0.8785610198974609,0
loss,0.15491682291030884,0
tp,26.0,True
bin_accuracy,0.9471718072891235,WMP_merged.csv
precision,0.20800000429153442,0
recall,1.0,0
auc,0.9851711392402649,0
loss,0.16611838340759277,1
tp,20.0,True
bin_accuracy,0.9543991684913635,WMP_merged.csv
precision,0.20202019810676575,0
recall,0.7692307829856873,0
auc,0.9271783828735352,0
loss,0.24149569869041443,2
tp,26.0,True
bin_accuracy,0.9214091897010803,WMP_merged.csv
precision,0.1520467847585678,0
recall,1.0,0
auc,0.9715397357940674,0
